,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3
111,112,40-49,0,"CAUCASIAN, NON-HISPANIC;",NORTHEAST,THE BOYS,2-3/WEEK,PEAS,CORN,GREEN BEANS,CARROTS,ASPARAGUS,ASPARAGUS,PEAS,CORN,ASPARAGUS ,PEAS,CAULIFLOWER,BAKED,,NONE,MANGOS,PEARS,STRAWBERRIES
112,113,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OZARKS,4-5/WEEK,BROCCOLI,LETTUCE (ANY KIND),CORN,GREEN BEANS,CAULIFLOWER,BROCCOLI,CORN,GREEN BEANS,BROCCOLI,LETTUCE (ANY KIND),ASPARAGUS,BAKED,MICROWAVED,FRIED/AIR-FRIED,WATERMELON,APPLES,STRAWBERRIES
113,114,40-49,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SOUTH PARK,DAILY 6-7 WEEK ,CORN,GREEN BEANS,ASPARAGUS,BRUSSELS SPROUTS,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),SAUTEED,GRILLED,BAKED,APPLES,BLUEBERRIES,GRAPES
114,115,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,GREY'S ANATOMY,DAILY 6-7 WEEK ,GREEN BEANS,CORN,BROCCOLI,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,CORN,LETTUCE (ANY KIND),CORN,GREEN BEANS,LETTUCE (ANY KIND),SAUTEED,STEAMED,GRILLED,PINEAPPLE,GRAPES,APPLES
115,116,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BELOW DECK,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,CELERY,LETTUCE (ANY KIND),CELERY AND CUCUMBER ,,LETTUCE (ANY KIND),BROCCOLI,CAULIFLOWER,STEAMED,,NONE,BERRIES,PINEAPPLE,WATERMELON
116,117,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CBS MORNING NEWS,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,GREEN BEANS,LETTUCE (ANY KIND),ASPARAGUS,BROCCOLI,CARROTS,GREEN BEANS,GREEN BEANS,BROCCOLI,ASPARAGUS,STEAMED,,NONE,OTHER,MANGOS,GRAPES
117,118,50-65,1,PREFER NOT TO SAY;,MIDWEST,GREY'S ANATOMY,4-5/WEEK,BROCCOLI,CARROTS,LETTUCE (ANY KIND),SQUASH,BELL PEPPERS,BROCCOLI,CARROTS,LETTUCE (ANY KIND),SQUASH,SPINACH,POTATO,BAKED,GRILLED,AIR FRYER,BLUEBERRIES,BANANAS,GRAPES
118,119,50-65,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,GREY’S ANATOMY ,4-5/WEEK,LETTUCE (ANY KIND),SPINACH,GREEN BEANS,BROCCOLI,CARROTS,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,SPINACH,LETTUCE (ANY KIND),GREEN BEANS,GRILLED,SAUTEED,STEAMED,APPLES,ORANGES,GRAPES
119,120,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NCIS,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,SQUASH,PEAS,CAULIFLOWER,BROCCOLI,CARROTS,SQUASH,LETTUCE (ANY KIND),CARROTS,BROCCOLI,BAKED,STEAMED,SAUTEED,APPLES,TOMATOES,PINEAPPLE
120,121,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GREYS ANATOMY,DAILY 6-7 WEEK ,PEAS,LETTUCE (ANY KIND),CORN,CARROTS,BROCCOLI,CORN,PEAS,LETTUCE (ANY KIND),CORN,PEAS,LETTUCE (ANY KIND),SAUTEED,GRILLED,,STRAWBERRIES,BANANAS,OTHER
121,122,40-49,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,THIS IS US,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,LETTUCE (ANY KIND),SQUASH,GREEN BEANS,SQUASH,SPINACH,LETTUCE (ANY KIND),BROCCOLI,LETTUCE (ANY KIND),SPINACH,BAKED,SAUTEED,STEAMED,BANANAS,MELON,APPLES
122,123,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,STRANGER THINGS,2-3/WEEK,LETTUCE (ANY KIND),CARROTS,BROCCOLI,CUCUMBERS,CORN,CARROTS,LETTUCE (ANY KIND),BROCCOLI,BRUSSEL SPROUTS AND ASPARAGUS,,NONE,FRIED/AIR-FRIED,GRILLED,SAUTEED,STRAWBERRIES,WATERMELON,GRAPES
123,124,20-29,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,EUPHORIA,2-3/WEEK,LETTUCE (ANY KIND),BELL PEPPERS,CUCUMBERS,,NONE,LETTUCE (ANY KIND),"PEPPERS,CUCUMBER",,BROCCOLI,LETTUCE (ANY KIND),,FRIED/AIR-FRIED,,NONE,GRAPES,WATERMELON,STRAWBERRIES
124,125,OVER 65,1,ASIAN;,MIDWEST,SATURDAY NIGHT LIVE,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,CAULIFLOWER,CORN,LETTUCE (ANY KIND),BROCCOLI,CARROTS,LETTUCE (ANY KIND),BROCCOLI,CARROTS,GREEN BEANS,SAUTEED,,NONE,GRAPES,ORANGES,MANGOS
125,126,50-65,1,ASIAN;,MIDWEST,NONE,DAILY 6-7 WEEK ,SQUASH,CARROTS,LETTUCE (ANY KIND),BROCCOLI,SPINACH,BROCCOLI,CARROTS,LETTUCE (ANY KIND),LETTUCE (ANY KIND),BROCCOLI,SPINACH,BAKED,SAUTEED,,GRAPES,MANGOS,BANANAS
126,127,20-29,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,QUEEN OF THE SOUTH ,DAILY 6-7 WEEK ,SQUASH,CORN,GREEN BEANS,LETTUCE (ANY KIND),PEAS,CORN,GREEN BEANS,LETTUCE (ANY KIND),BROCCOLI,CARROTS,SQUASH,BAKED,,NONE,MANGOS,WATERMELON,KIWI
127,128,30-39,1,ASIAN;,MIDWEST,THE OFFICE,DAILY 6-7 WEEK ,BROCCOLI,CORN,GREEN BEANS,SPINACH,LETTUCE (ANY KIND),CORN,BROCCOLI,LETTUCE (ANY KIND),BROCCOLI,CORN,SPINACH,BAKED,FRIED/AIR-FRIED,SAUTEED,BLACKBERRIES,GRAPES,WATERMELON
128,129,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,TED LASSO,4-5/WEEK,SPINACH,PEAS,CARROTS,BROCCOLI,GREEN BEANS,SPINACH,CARROTS,PEAS,ASPARAGUS,,NONE,BAKED,SAUTEED,,BANANAS,BLUEBERRIES,APPLES
129,130,40-49,1,"CAUCASIAN, NON-HISPANIC;",SOUTHEAST,LAW AND ORDER,4-5/WEEK,SPINACH,BROCCOLI,CARROTS,GREEN BEANS,BRUSSELS SPROUTS,BRUSSEL SPROUTS,BROCCOLI,SPINACH,BROCCOLI,GREEN BEANS,BRUSSEL SPROUTS,BAKED,FRIED/AIR-FRIED,,GRAPEFRUIT,WATERMELON,BANANAS
130,131,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,DATELINE,2-3/WEEK,CAULIFLOWER,,NONE,NONE,NONE,CAULIFLOWER,,NONE,GREEN BEANS,,NONE,BAKED,,NONE,GRAPES,MELON,ORANGES
131,132,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OUR FLAG MEANS DEATH,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,LETTUCE (ANY KIND),GREEN BEANS,BROCCOLI,ASPARAGUS,SQUASH,SPINACH,STEAMED,BAKED,,STRAWBERRIES,PINEAPPLE,WATERMELON
132,133,30-39,0,"CAUCASIAN, NON-HISPANIC;",MID-ATLANTIC ,THE REAL HOUSEWIVES OF BEVERLY HILLS,DAILY 6-7 WEEK ,BROCCOLI,CAULIFLOWER,CORN,LETTUCE (ANY KIND),CARROTS,BROCCOLI,CARROTS,CAULIFLOWER,BROCCOLI,LETTUCE (ANY KIND),CORN,BOILED,GRILLED,SAUTEED,BANANAS,PINEAPPLE,RASPBERRIES
133,134,40-49,1,"CAUCASIAN, LATINO/HISPANIC;",MIDWEST,ARRESTED DEVELOPMENT,4-5/WEEK,BROCCOLI,CAULIFLOWER,PEAS,GREEN BEANS,CORN,BROCCOLI,CORN,PEAS,BROCCOLI,SQUASH,CARROTS,BAKED,FRIED/AIR-FRIED,SAUTEED,STRAWBERRIES,MANGOS,GRAPES
134,135,20-29,1,ASIAN;,WEST,AVATAR: THE LAST AIRBENDER,"RARELY (ONLY IF SOMEONE MAKES ME; HOLIDAYS ONLY, ETC.)",CARROTS,BROCCOLI,CORN,LETTUCE (ANY KIND),CUCUMBERS,CARROTS,CORN,BROCCOLI,CORN,CARROTS,BROCCOLI,FRIED/AIR-FRIED,SAUTEED,STEAMED,APPLES,GRAPES,POMEGRANATES
135,136,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,FRIENDS,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,LETTUCE (ANY KIND),SQUASH,CORN,BROCCOLI,CARROTS,LETTUCE (ANY KIND),LETTUCE (ANY KIND),SPINACH,CARROTS,GRILLED,MICROWAVED,,APPLES,STRAWBERRIES,RASPBERRIES
