,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3
164,165,50-65,0,"CAUCASIAN, LATINO/HISPANIC;",MIDWEST,BULL,4-5/WEEK,LETTUCE (ANY KIND),CORN,BROCCOLI,CARROTS,POTATOES,POTATOES,CORN,LETTUCE (ANY KIND),LETTUCE (ANY KIND),CORN,BROCCOLI,BAKED,BOILED,GRILLED,BANANAS,APPLES,BLUEBERRIES
165,166,50-65,0,"CAUCASIAN, NON-HISPANIC;",SOUTHEAST,GAME OF THRONES,4-5/WEEK,CARROTS,CORN,LETTUCE (ANY KIND),GREEN BEANS,CUCUMBERS,LETTUCE (ANY KIND),CORN,CUCUMBERS ,LETTUCE (ANY KIND),CORN,CUCUMBERS,RAW FOR LETTUCE AND CUCUMBERS ,GRILLED,BOILED,PINEAPPLE,GRAPES,ORANGES
166,167,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GRACE AND FRANKIE ,4-5/WEEK,SPINACH,CAULIFLOWER,,NONE,NONE,SPINACH,CARROTS,,ASPARAGUS ,,NONE,SAUTEED,,NONE,BLUEBERIES,NONE,NONE
167,168,40-49,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OBI-WAN KENOBI,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,CORN,PEAS,SQUASH,BROCCOLI,CORN,PEAS,BROCCOLI,SQUASH,CORN,STEAMED,GRILLED,SAUTEED,STRAWBERRIES,WATERMELON,BLUEBERRIES
168,169,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,GENERAL HOSPITAL ,2-3/WEEK,BROCCOLI,CAULIFLOWER,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,LETTUCE (ANY KIND),GREEN BEANS,CAULIFLOWER,BROCCOLI,LETTUCE (ANY KIND),CAULIFLOWER,STEAMED,,NONE,APPLES,BANANAS,GRAPES
169,170,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,HIS DARK MATERIALS ,4-5/WEEK,SPINACH,GREEN BEANS,BROCCOLI,CARROTS,BLACK BEANS,SPINACH,BROCCOLI,BLACK BEANS ,ASPARAGUS ,SPINACH,GREEN BEANS,SAUTEED,FRIED/AIR-FRIED,STEAMED,BLUEBERRIES,BANANAS,MANGOS
170,171,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHOPPED,2-3/WEEK,CORN,BROCCOLI,CAULIFLOWER,CARROTS,,CORN,BROCCOLI,,CORN,BROCCOLI,LETTUCE (ANY KIND),BAKED,,NONE,BLUEBERIES,NONE,NONE
171,172,40-49,0,"CAUCASIAN, LATINO/HISPANIC;",MIDWEST,SEINFELD ,4-5/WEEK,BROCCOLI,CARROTS,GREEN BEANS,,NONE,BROCCOLI,,NONE,LETTUCE (ANY KIND),,NONE,MICROWAVED,,NONE,BANANAS,STRAWBERRIES,OTHER
172,173,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NONE,"RARELY (ONLY IF SOMEONE MAKES ME; HOLIDAYS ONLY, ETC.)",CORN,LETTUCE (ANY KIND),SPINACH,CARROTS,,CARROTS,CORN,LETTUCE (ANY KIND),CORN,,NONE,STEAMED,,NONE,KIWI,MANGOS,STRAWBERRIES
173,174,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,JIMMY KIMMEL,4-5/WEEK,CARROTS,SPINACH,BROCCOLI,CAULIFLOWER,GREEN BEANS,CARROTS,SPINACH,BROCCOLI,BROCCOLI,CAULIFLOWER,SPINACH,SAUTEED,,NONE,BANANAS,APPLES,ORANGES
174,175,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,60 MINUTES,DAILY 6-7 WEEK ,PEAS,BROCCOLI,CARROTS,CAULIFLOWER,LETTUCE (ANY KIND),PEAS,BROCCOLI,CARROTS,PEAS,SQUASH,CAULIFLOWER,BAKED,GRILLED,STEAMED,BLUEBERRIES,PEACHES,CHERRIES
